timestamp,symbol,action,timeframe,strategy,executed,lot_size,tpsl_mode,trade_done,tpsl_done,ticket,execution_price,executed_at,processed_at
2025-07-31T00:47:59.458068+00:00,EURUSD,buy,1hr,algo11,yes,0.02,percentage_balance,yes,no,1588220559.0,1.141,2025-07-30T21:50:51.761534+00:00,2025-07-30T21:48:00.429360+00:00
2025-07-31T00:54:24.655852+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1588222069.0,1.14101,2025-07-30T21:54:33.968605+00:00,2025-07-30T21:54:32.835560+00:00
2025-07-31T01:30:21.146812+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1588257936.0,1.1419700000000002,2025-07-30T22:30:43.700794+00:00,2025-07-30T22:30:29.595463+00:00
2025-07-31T01:30:38.659629+00:00,BTCUSD,buy,1hr,algo10,yes,0.08,percentage_balance,yes,no,1588258099.0,117411.02,2025-07-30T22:30:55.163214+00:00,2025-07-30T22:30:45.197075+00:00
2025-07-31T17:00:10.291911+00:00,SOLUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-31T14:00:11.741841+00:00
2025-07-31T17:00:15.874537+00:00,ETHUSD,sell,1hr,algo10,yes,2.6,percentage_balance,yes,no,1589964537.0,3810.04,2025-07-31T14:00:29.498952+00:00,2025-07-31T14:00:23.332655+00:00
2025-07-31T18:00:11.149885+00:00,BTCUSD,sell,1HR,algo11,yes,0.02,percentage_balance,yes,no,1590198809.0,117993.9,2025-07-31T15:00:22.176105+00:00,2025-07-31T15:00:20.418598+00:00
2025-07-31T18:00:13.336221+00:00,BTCUSD,sell,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-31T15:00:20.419716+00:00
2025-07-31T18:00:14.807493+00:00,ETHUSD,buy,1hr,algo10,yes,2.63,percentage_balance,yes,no,1590198820.0,3771.53,2025-07-31T15:00:22.622717+00:00,2025-07-31T15:00:20.454515+00:00
2025-07-31T19:00:14.057239+00:00,BTCUSD,buy,1HR,algo11,yes,0.02,percentage_balance,yes,no,1590355785.0,118366.03,2025-07-31T16:00:24.144271+00:00,2025-07-31T16:00:15.977906+00:00
2025-07-31T19:00:14.178135+00:00,BTCUSD,buy,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-31T16:00:15.978447+00:00
2025-07-31T19:16:12.334268+00:00,BNBUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-31T16:16:13.242918+00:00
2025-07-31T20:00:10.374057+00:00,BNBUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-31T17:00:15.661254+00:00
2025-07-31T20:59:48.989633+00:00,BTCUSD,sell,1HR,algo11,yes,0.02,percentage_balance,yes,no,1590630508.0,117760.22,2025-07-31T18:00:04.996326+00:00,2025-07-31T17:59:55.720058+00:00
2025-07-31T20:59:49.767821+00:00,BTCUSD,sell,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-31T17:59:55.720852+00:00
2025-07-31T21:00:07.030851+00:00,BNBUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-31T18:00:07.546451+00:00
2025-07-31T21:00:11.352410+00:00,BTCUSD,sell,1HR,algo11,yes,0.02,percentage_balance,yes,no,1590630954.0,117764.16,2025-07-31T18:00:22.560882+00:00,2025-07-31T18:00:19.859495+00:00
2025-07-31T21:00:11.401343+00:00,BTCUSD,sell,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-31T18:00:19.860222+00:00
2025-07-31T22:00:10.310437+00:00,BNBUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-31T19:00:14.190795+00:00
2025-07-31T22:26:58.982834+00:00,BTCUSD,buy,1HR,algo11,yes,0.02,percentage_balance,yes,no,1590773654.0,117133.04,2025-07-31T19:27:08.508990+00:00,2025-07-31T19:27:06.354014+00:00
2025-07-31T22:26:59.615424+00:00,BTCUSD,buy,1hr,algo15,yes (err:symbol),,,no,no,,,,2025-07-31T19:27:06.354880+00:00
2025-07-31T22:59:57.756516+00:00,XAUUSD,sell,1hr,algo11,yes,0.01,percentage_balance,yes,no,1590832977.0,3290.993,2025-07-31T20:00:12.892960+00:00,2025-07-31T20:00:06.324073+00:00
2025-07-31T23:00:14.724826+00:00,BNBUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-07-31T20:00:16.741076+00:00
