timestamp,symbol,action,timeframe,strategy,executed,lot_size,tpsl_mode,trade_done,tpsl_done,ticket,execution_price,executed_at,processed_at
2025-08-08T00:14:54.452198+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1607031122.0,1.16704,2025-08-07T21:14:58.144811+00:00,2025-08-07T21:14:55.250016+00:00
2025-08-08T01:01:00.685956+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1607049542.0,1.16687,2025-08-07T22:01:08.490682+00:00,2025-08-07T22:01:05.787195+00:00
2025-08-08T02:26:59.001272+00:00,EURUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-08-07T23:27:02.967826+00:00
2025-08-08T09:00:00.365251+00:00,EURUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-08-08T06:00:02.510984+00:00
2025-08-08T09:00:10.185104+00:00,BTCUSD,sell,1hr,algo10,yes,0.08,percentage_balance,yes,no,1607676197.0,116487.02,2025-08-08T06:00:17.257819+00:00,2025-08-08T06:00:14.947635+00:00
2025-08-08T10:00:09.469865+00:00,BTCUSD,buy,1hr,algo10,yes,0.08,percentage_balance,yes,no,,,2025-08-08T07:00:16.525259+00:00,2025-08-08T07:00:14.768853+00:00
2025-08-08T11:00:12.308204+00:00,EURUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-08-08T08:00:14.162644+00:00
2025-08-08T12:00:02.792311+00:00,EURUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-08-08T09:00:07.485354+00:00
2025-08-08T14:00:08.986663+00:00,BTCUSD,sell,1hr,algo10,yes,0.08,percentage_balance,yes,no,1609407379.0,116765.53,2025-08-08T14:21:26.380830+00:00,2025-08-08T12:39:47.142120+00:00
2025-08-08T15:00:15.680944+00:00,BTCUSD,buy,1hr,algo10,yes,0.08,percentage_balance,yes,no,,,2025-08-08T14:21:27.238440+00:00,2025-08-08T12:39:47.143211+00:00
2025-08-08T16:00:10.156707+00:00,BTCUSD,sell,1hr,algo10,yes,0.08,percentage_balance,yes,no,1609407583.0,116754.31,2025-08-08T14:21:31.360212+00:00,2025-08-08T14:21:27.240555+00:00
2025-08-08T16:56:16.418262+00:00,EURUSD,buy,1hr,algo15,yes (skipped:day_not_allowed),,,no,no,,,,2025-08-08T14:21:27.241462+00:00
2025-08-08T17:00:15.378779+00:00,BTCUSD,buy,1hr,algo10,yes,0.08,percentage_balance,yes,no,,,2025-08-08T14:21:31.586658+00:00,2025-08-08T14:21:27.243678+00:00
2025-08-08T17:21:53.368401+00:00,EURUSD,buy,1hr,algo15,yes (skipped:day_not_allowed),,,no,no,,,,2025-08-08T14:21:56.959392+00:00
2025-08-08T17:23:00.193764+00:00,BTCUSD,buy,1hr,algo10,yes,0.08,percentage_balance,yes,no,1609413268.0,116773.79,2025-08-08T14:23:05.997105+00:00,2025-08-08T14:23:03.522654+00:00
2025-08-08T17:23:40.678963+00:00,EURUSD,buy,1hr,algo15,yes (skipped:day_not_allowed),,,no,no,,,,2025-08-08T14:23:45.856348+00:00
2025-08-08T18:00:00.183236+00:00,EURUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-08-08T15:00:02.297163+00:00
2025-08-08T18:00:08.710612+00:00,BTCUSD,sell,1hr,algo10,yes,0.08,percentage_balance,yes,no,1609539460.0,116481.95,2025-08-08T15:00:16.149263+00:00,2025-08-08T15:00:14.273023+00:00
2025-08-08T21:00:18.590722+00:00,BTCUSD,buy,1hr,algo10,yes,0.08,percentage_balance,yes,no,1609983685.0,116760.66,2025-08-08T18:00:23.653848+00:00,2025-08-08T18:00:19.861781+00:00
2025-08-08T22:00:11.269287+00:00,BTCUSD,sell,1hr,algo10,yes,0.08,percentage_balance,yes,no,1610135337.0,116542.79,2025-08-08T19:00:15.990795+00:00,2025-08-08T19:00:12.785835+00:00
2025-08-08T23:00:03.056578+00:00,EURUSD,sell,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-08-08T20:00:03.917579+00:00
