timestamp,symbol,action,timeframe,strategy,executed,lot_size,tpsl_mode,trade_done,tpsl_done,ticket,execution_price,executed_at,processed_at
2025-07-28T01:48:38.550732+00:00,EURUSD,buy,1hr,algo11,yes,0.02,percentage_balance,yes,no,1579757953.0,1.17545,2025-07-27T22:48:42.627182+00:00,2025-07-27T22:48:40.092554+00:00
2025-07-28T01:49:18.383862+00:00,EURUSD,buy,1hr,algo11,yes,0.02,percentage_balance,yes,no,1579759089.0,1.1754,2025-07-27T22:49:29.112242+00:00,2025-07-27T22:49:27.718268+00:00
2025-07-28T02:00:00.959168+00:00,EURUSD,sell,1hr,algo15,yes,0.11,percentage_balance,yes,no,1579783251.0,1.17544,2025-07-27T23:00:08.372812+00:00,2025-07-27T23:00:05.851996+00:00
2025-07-28T02:00:02.126145+00:00,XAUUSD,sell,1hr,algo11,yes,0.01,percentage_balance,yes,no,1579783265.0,3330.744,2025-07-27T23:00:08.585709+00:00,2025-07-27T23:00:05.908855+00:00
2025-07-28T04:00:01.576344+00:00,GBPUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1579949845.0,1.3444,2025-07-28T01:00:05.154802+00:00,2025-07-28T01:00:04.176650+00:00
2025-07-28T04:00:02.127817+00:00,EURUSD,buy,1hr,algo15,yes,0.11,percentage_balance,yes,no,1579949850.0,1.1764400000000002,2025-07-28T01:00:05.581118+00:00,2025-07-28T01:00:04.184251+00:00
2025-07-28T05:00:02.441777+00:00,GBPUSD,sell,1hr,algo15,yes,0.09,percentage_balance,yes,no,1580014223.0,1.34345,2025-07-28T02:00:11.402585+00:00,2025-07-28T02:00:05.584610+00:00
2025-07-28T05:00:03.858214+00:00,EURUSD,sell,1hr,algo15,yes,0.11,percentage_balance,yes,no,1580014227.0,1.17517,2025-07-28T02:00:11.639418+00:00,2025-07-28T02:00:05.639901+00:00
2025-07-28T06:00:01.519092+00:00,EURUSD,buy,1hr,algo15,yes,0.11,percentage_balance,yes,no,1580060502.0,1.17544,2025-07-28T03:00:12.115818+00:00,2025-07-28T03:00:07.201852+00:00
2025-07-28T07:00:01.345066+00:00,EURUSD,buy,1hr,algo15,yes,0.11,percentage_balance,yes,no,1580112183.0,1.17569,2025-07-28T04:00:16.503056+00:00,2025-07-28T04:00:07.203508+00:00
2025-07-28T07:00:01.900150+00:00,XAUUSD,buy,1hr,algo11,yes,0.01,percentage_balance,yes,no,1580112191.0,3343.721,2025-07-28T04:00:16.886633+00:00,2025-07-28T04:00:07.217844+00:00
2025-07-28T08:00:03.729224+00:00,EURUSD,sell,1hr,algo15,yes,0.11,percentage_balance,yes,no,1580171090.0,1.1746,2025-07-28T05:00:14.797893+00:00,2025-07-28T05:00:09.146006+00:00
