timestamp,symbol,action,timeframe,strategy,executed,lot_size,tpsl_mode,trade_done,tpsl_done,ticket,execution_price,executed_at,processed_at
2025-08-06T00:57:49.064105+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601083581.0,1.15761,2025-08-05T21:57:56.297606+00:00,2025-08-05T21:57:52.666152+00:00
2025-08-06T00:58:28.412125+00:00,EURUSD,sell,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601083676.0,1.15745,2025-08-05T21:58:31.879445+00:00,2025-08-05T21:58:31.673146+00:00
2025-08-06T01:04:25.235766+00:00,EURUSD,sell,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601091405.0,1.15754,2025-08-05T22:04:31.216440+00:00,2025-08-05T22:04:27.733773+00:00
2025-08-06T01:04:56.374675+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601091901.0,1.15755,2025-08-05T22:04:59.730238+00:00,2025-08-05T22:04:59.033393+00:00
2025-08-06T01:09:11.097020+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601096866.0,1.1574,2025-08-05T22:09:19.179648+00:00,2025-08-05T22:09:13.856409+00:00
2025-08-06T01:09:39.497434+00:00,EURUSD,sell,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601097377.0,1.1574,2025-08-05T22:09:54.164530+00:00,2025-08-05T22:09:44.638003+00:00
2025-08-06T01:10:32.448599+00:00,XAUUSD,sell,1hr,algo15,yes,0.01,percentage_balance,yes,no,1601098135.0,3380.107,2025-08-05T22:10:40.256430+00:00,2025-08-05T22:10:38.547736+00:00
2025-08-06T01:11:00.167114+00:00,XAUUSD,buy,1hr,algo15,yes,0.03,percentage_balance,yes,no,1601098822.0,3380.291,2025-08-05T22:11:10.019648+00:00,2025-08-05T22:11:02.795193+00:00
2025-08-06T01:13:46.409807+00:00,BTCUSD,sell,1hr,algo10,yes,0.1,percentage_balance,yes,no,1601100545.0,113751.77,2025-08-05T22:13:50.971831+00:00,2025-08-05T22:13:49.839831+00:00
2025-08-06T01:14:30.625064+00:00,BTCUSD,buy,1hr,algo10,yes,0.1,percentage_balance,yes,no,1601101675.0,113817.18,2025-08-05T22:14:49.430876+00:00,2025-08-05T22:14:37.531424+00:00
2025-08-06T01:23:39.361823+00:00,BTCUSD,buy,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601111634.0,113799.92,2025-08-05T22:23:52.120814+00:00,2025-08-05T22:23:47.513201+00:00
2025-08-06T01:23:46.001969+00:00,BTCUSD,buy,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601111636.0,113799.73,2025-08-05T22:23:52.370623+00:00,2025-08-05T22:23:47.527146+00:00
2025-08-06T01:24:19.300963+00:00,BTCUSD,sell,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601112085.0,113789.39,2025-08-05T22:24:33.924141+00:00,2025-08-05T22:24:27.308609+00:00
2025-08-06T01:28:08.729057+00:00,BTCUSD,sell,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601115040.0,113744.68,2025-08-05T22:28:19.302680+00:00,2025-08-05T22:28:15.829853+00:00
2025-08-06T01:28:33.012784+00:00,BTCUSD,sell,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601115562.0,113772.84,2025-08-05T22:28:42.006575+00:00,2025-08-05T22:28:39.380629+00:00
2025-08-06T01:28:47.646394+00:00,BTCUSD,buy,1hr,algo10,yes,0.09,percentage_balance,yes,no,,,2025-08-05T22:28:59.745229+00:00,2025-08-05T22:28:55.319762+00:00
2025-08-06T01:29:32.593761+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601116087.0,1.15735,2025-08-05T22:29:34.652660+00:00,2025-08-05T22:29:33.711204+00:00
2025-08-06T01:29:45.451481+00:00,EURUSD,buy,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601116215.0,1.15734,2025-08-05T22:29:51.477655+00:00,2025-08-05T22:29:48.802851+00:00
2025-08-06T01:30:06.984091+00:00,EURUSD,sell,1hr,algo15,yes,0.09,percentage_balance,yes,no,1601116922.0,1.15727,2025-08-05T22:30:21.321325+00:00,2025-08-05T22:30:12.902555+00:00
2025-08-06T01:31:43.753149+00:00,BTCUSD,sell,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601118842.0,113903.48,2025-08-05T22:31:51.541744+00:00,2025-08-05T22:31:47.194542+00:00
2025-08-06T01:43:16.205935+00:00,BTCUSD,sell,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601127171.0,113915.11,2025-08-05T22:43:19.640316+00:00,2025-08-05T22:43:19.195848+00:00
2025-08-06T01:53:31.310976+00:00,BTCUSD,sell,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601138050.0,113955.32,2025-08-05T22:53:37.710541+00:00,2025-08-05T22:53:37.442745+00:00
2025-08-06T01:58:51.728430+00:00,BTCUSD,sell,1hr,algo10,yes,0.09,percentage_balance,yes,no,1601141497.0,113955.79,2025-08-05T22:58:58.686386+00:00,2025-08-05T22:58:56.496135+00:00
2025-08-06T02:00:00.257110+00:00,GBPUSD,buy,1hr,algo10,yes (err:symbol),,,no,no,,,,2025-08-05T23:00:06.633343+00:00
