timestamp,symbol,action,timeframe,strategy,executed
2025-07-26T12:00:14.830492,BTCUSD,buy,1HR,algo11,yes
2025-07-26T12:00:14.846357,BTCUSD,buy,1hr,algo15,yes
2025-07-26T13:32:53.087113,BTCUSD,sell,1hr,algo15,yes
2025-07-26T13:32:53.088106,BTCUSD,sell,1HR,algo11,yes
2025-07-26T16:06:41.919486,BTCUSD,sell,1HR,algo11,yes
2025-07-26T16:06:41.934907,BTCUSD,sell,1hr,algo15,yes
2025-07-26T20:00:32.873701,BNBUSD,sell,1hr,algo10,yes
2025-07-26T21:00:08.845335,SOLUSD,sell,1hr,algo10,yes
2025-07-26T22:00:07.592758,BNBUSD,buy,1hr,algo10,yes
2025-07-26T22:51:46.052734,SOLUSD,buy,1hr,algo10,yes
2025-07-26T23:00:09.982261,SOLUSD,buy,1hr,algo10,yes
