timestamp,symbol,action,timeframe,strategy,executed
2025-08-08T00:14:54.452198,EURUSD,buy,1hr,algo15,yes
2025-08-08T01:01:00.685956,EURUSD,buy,1hr,algo15,yes
2025-08-08T02:26:59.001272,EURUSD,sell,1hr,algo10,yes
2025-08-08T09:00:00.365251,EURUSD,sell,1hr,algo10,yes
2025-08-08T09:00:10.185104,BTCUSD,sell,1hr,algo10,yes
2025-08-08T10:00:09.469865,BTCUSD,buy,1hr,algo10,yes
2025-08-08T11:00:12.308204,EURUSD,buy,1hr,algo10,yes
2025-08-08T12:00:02.792311,EURUSD,sell,1hr,algo10,yes
2025-08-08T14:00:08.986663,BTCUSD,sell,1hr,algo10,yes
2025-08-08T15:00:15.680944,BTCUSD,buy,1hr,algo10,yes
2025-08-08T16:00:10.156707,BTCUSD,sell,1hr,algo10,yes
2025-08-08T16:56:16.418262,EURUSD,buy,1hr,algo15,yes
2025-08-08T17:00:15.378779,BTCUSD,buy,1hr,algo10,yes
2025-08-08T17:21:53.368401,EURUSD,buy,1hr,algo15,yes
2025-08-08T17:23:00.193764,BTCUSD,buy,1hr,algo10,yes
2025-08-08T17:23:40.678963,EURUSD,buy,1hr,algo15,yes
2025-08-08T18:00:00.183236,EURUSD,buy,1hr,algo10,yes
2025-08-08T18:00:08.710612,BTCUSD,sell,1hr,algo10,yes
2025-08-08T21:00:18.590722,BTCUSD,buy,1hr,algo10,yes
2025-08-08T22:00:11.269287,BTCUSD,sell,1hr,algo10,yes
2025-08-08T23:00:03.056578,EURUSD,sell,1hr,algo10,yes
