timestamp,symbol,action,timeframe,strategy,executed
2025-08-03T05:00:03.871342,BTCUSD,buy,1HR,algo11,yes
2025-08-03T05:00:03.955254,BTCUSD,buy,1hr,algo15,yes
2025-08-03T06:00:06.120513,ETHUSD,buy,1hr,algo10,yes
2025-08-03T06:43:29.484691,BTCUSD,sell,1HR,algo11,yes
2025-08-03T06:43:29.488208,BTCUSD,sell,1hr,algo15,yes
2025-08-03T07:00:15.435484,SOLUSD,buy,1hr,algo10,yes
2025-08-03T08:00:06.383797,ETHUSD,sell,1hr,algo10,yes
2025-08-03T08:01:29.594228,SOLUSD,sell,1hr,algo10,yes
2025-08-03T09:00:41.670049,SOLUSD,buy,1hr,algo10,yes
2025-08-03T09:00:42.724202,ETHUSD,buy,1hr,algo10,yes
