timestamp,symbol,action,timeframe,strategy,executed
2025-07-22T00:01:10.573675,BTCUSD,buy,1hr,algo11,yes
2025-07-22T00:27:35.676647,BTCUSD,buy,1hr,algo15,yes
2025-07-22T00:27:41.099005,BTCUSD,buy,1hr,algo15,yes
2025-07-22T01:45:24.421533,BTCUSD,buy,15min,algo11,yes
2025-07-22T02:00:12.825274,BTCUSD,sell,15min,algo11,yes
2025-07-22T03:30:12.747639,BTCUSD,buy,15min,algo11,yes
2025-07-22T03:45:14.823147,BTCUSD,sell,15min,algo11,yes
2025-07-22T04:45:04.931213,BTCUSD,buy,15min,algo11,yes
2025-07-22T05:00:13.762323,BTCUSD,buy,15min,algo11,yes
2025-07-22T05:45:04.709523,BTCUSD,sell,15min,algo11,yes
2025-07-22T06:00:09.217228,BTCUSD,sell,15min,algo11,yes
2025-07-22T08:15:17.624881,BTCUSD,buy,15min,algo11,yes
2025-07-22T09:21:31.090432,BTCUSD,buy,15min,algo11,yes
2025-07-22T10:00:08.418484,BTCUSD,buy,15min,algo11,yes
2025-07-22T10:08:04.452259,BTCUSD,buy,1hr,algo15,yes
2025-07-22T10:09:25.325258,BTCUSD,buy,1hr,algo15,yes
2025-07-22T10:11:21.829057,BTCUSD,buy,1hr,algo15,yes
2025-07-22T10:26:19.857967,EURUSD,sell,1hr,algo15,yes
2025-07-22T12:59:48.955516,EURUSD,sell,1hr,algo15,yes
2025-07-22T13:11:03.571277,GBPUSD,buy,1hr,algo15,yes
2025-07-22T13:24:57.045306,GBPUSD,buy,1hr,algo15,yes
2025-07-22T13:46:44.517782,GBPUSD,buy,1hr,algo15,yes
2025-07-22T13:56:54.250442,GBPUSD,buy,1hr,algo15,yes
2025-07-22T14:13:59.876564,GBPUSD,buy,1hr,algo15,yes
2025-07-22T14:19:51.661125,GBPJPY,buy,1hr,algo15,yes
2025-07-22T14:23:17.839505,GBPJPY,buy,1hr,algo15,yes
2025-07-22T14:25:48.503385,GBPJPY,buy,1hr,algo11,yes
2025-07-22T14:30:17.855636,GBPJPY,buy,1hr,algo11,yes
2025-07-22T14:35:40.271385,XAUUSD,buy,1hr,algo11,yes
