timestamp,symbol,action,timeframe,strategy,executed
2025-07-28T01:48:38.550732,EURUSD,buy,1hr,algo11,yes
2025-07-28T01:49:18.383862,EURUSD,buy,1hr,algo11,yes
2025-07-28T02:00:00.959168,EURUSD,sell,1hr,algo15,yes
2025-07-28T02:00:02.126145,XAUUSD,sell,1hr,algo11,yes
2025-07-28T04:00:01.576344,GBPUSD,buy,1hr,algo15,yes
2025-07-28T04:00:02.127817,EURUSD,buy,1hr,algo15,yes
2025-07-28T05:00:02.441777,GBPUSD,sell,1hr,algo15,yes
2025-07-28T05:00:03.858214,EURUSD,sell,1hr,algo15,yes
2025-07-28T06:00:01.519092,EURUSD,buy,1hr,algo15,yes
2025-07-28T07:00:01.345066,EURUSD,buy,1hr,algo15,yes
2025-07-28T07:00:01.900150,XAUUSD,buy,1hr,algo11,yes
2025-07-28T08:00:03.729224,EURUSD,sell,1hr,algo15,yes
2025-07-28T09:00:03.423381,EURUSD,buy,1hr,algo15,yes
2025-07-28T09:35:50.674811,GBPUSD,buy,1hr,algo15,yes
2025-07-28T11:00:02.884872,XAUUSD,sell,1hr,algo11,yes
2025-07-28T13:00:00.844509,XAUUSD,buy,1hr,algo11,yes
2025-07-28T14:00:01.545325,XAUUSD,sell,1hr,algo11,yes
2025-07-28T14:00:08.696038,BTCUSD,sell,1hr,algo15,yes
2025-07-28T14:00:09.148089,BTCUSD,sell,1HR,algo11,yes
2025-07-28T15:00:13.423680,BTCUSD,buy,1HR,algo11,yes
2025-07-28T15:00:13.803369,BTCUSD,buy,1hr,algo15,yes
2025-07-28T16:00:02.199175,GBPUSD,buy,1hr,algo15,yes
2025-07-28T19:00:20.967640,SOLUSD,buy,1hr,algo10,yes
2025-07-28T19:00:34.182089,BNBUSD,buy,1hr,algo10,yes
2025-07-28T19:02:19.178253,GBPUSD,buy,1hr,algo15,yes
2025-07-28T20:00:11.548246,BNBUSD,sell,1hr,algo10,yes
2025-07-28T20:13:36.167142,BTCUSD,buy,1HR,algo11,yes
2025-07-28T20:13:36.404638,BTCUSD,buy,1hr,algo15,yes
2025-07-28T21:00:15.342816,BNBUSD,sell,1hr,algo10,yes
2025-07-28T22:46:04.386789,BNBUSD,buy,1hr,algo10,yes
