timestamp,symbol,action,timeframe,strategy,executed
2025-08-06T00:57:49.064105,EURUSD,buy,1hr,algo15,yes
2025-08-06T00:58:28.412125,EURUSD,sell,1hr,algo15,yes
2025-08-06T01:04:25.235766,EURUSD,sell,1hr,algo15,yes
2025-08-06T01:04:56.374675,EURUSD,buy,1hr,algo15,yes
2025-08-06T01:09:11.097020,EURUSD,buy,1hr,algo15,yes
2025-08-06T01:09:39.497434,EURUSD,sell,1hr,algo15,yes
2025-08-06T01:10:32.448599,XAUUSD,sell,1hr,algo15,yes
2025-08-06T01:11:00.167114,XAUUSD,buy,1hr,algo15,yes
2025-08-06T01:13:46.409807,BTCUSD,sell,1hr,algo10,yes
2025-08-06T01:14:30.625064,BTCUSD,buy,1hr,algo10,yes
2025-08-06T01:23:39.361823,BTCUSD,buy,1hr,algo10,yes
2025-08-06T01:23:46.001969,BTCUSD,buy,1hr,algo10,yes
2025-08-06T01:24:19.300963,BTCUSD,sell,1hr,algo10,yes
2025-08-06T01:28:08.729057,BTCUSD,sell,1hr,algo10,yes
2025-08-06T01:28:33.012784,BTCUSD,sell,1hr,algo10,yes
2025-08-06T01:28:47.646394,BTCUSD,buy,1hr,algo10,yes
2025-08-06T01:29:32.593761,EURUSD,buy,1hr,algo15,yes
2025-08-06T01:29:45.451481,EURUSD,buy,1hr,algo15,yes
2025-08-06T01:30:06.984091,EURUSD,sell,1hr,algo15,yes
2025-08-06T01:31:43.753149,BTCUSD,sell,1hr,algo10,yes
2025-08-06T01:43:16.205935,BTCUSD,sell,1hr,algo10,yes
2025-08-06T01:53:31.310976,BTCUSD,sell,1hr,algo10,yes
2025-08-06T01:58:51.728430,BTCUSD,sell,1hr,algo10,yes
2025-08-06T02:00:00.257110,GBPUSD,buy,1hr,algo10,yes
2025-08-06T05:00:00.077143,EURUSD,sell,1hr,algo10,yes
2025-08-06T07:00:00.228925,EURUSD,buy,1hr,algo10,yes
2025-08-06T09:00:15.197685,ETHUSD,buy,1hr,algo10,yes
2025-08-06T13:00:01.763474,GBPUSD,buy,1hr,algo10,yes
2025-08-06T13:12:50.527743,EURUSD,sell,1hr,algo10,yes
2025-08-06T14:01:24.524647,ETHUSD,sell,1hr,algo10,yes
2025-08-06T14:18:00.293782,GBPUSD,sell,1hr,algo10,yes
2025-08-06T15:00:13.756086,BTCUSD,buy,1hr,algo10,yes
2025-08-06T15:12:37.369697,ETHUSD,buy,1hr,algo10,yes
2025-08-06T16:00:10.541782,BTCUSD,sell,1hr,algo10,yes
2025-08-06T16:00:11.845864,ETHUSD,buy,1hr,algo10,yes
2025-08-06T17:00:12.893726,BTCUSD,buy,1hr,algo10,yes
2025-08-06T18:00:17.868156,BTCUSD,sell,1hr,algo10,yes
2025-08-06T18:00:22.329699,ETHUSD,buy,1hr,algo10,yes
2025-08-06T19:00:21.734733,ETHUSD,sell,1hr,algo10,yes
