timestamp,symbol,action,timeframe,strategy,executed
2025-07-29T02:00:02.633467,XAUUSD,buy,1hr,algo11,yes
2025-07-29T03:00:02.510357,XAUUSD,sell,1hr,algo11,yes
2025-07-29T03:51:41.392459,GBPUSD,buy,1hr,algo15,yes
2025-07-29T04:00:00.215541,GBPUSD,buy,1hr,algo15,yes
2025-07-29T05:00:03.982056,XAUUSD,buy,1hr,algo11,yes
2025-07-29T07:00:04.239859,XAUUSD,sell,1hr,algo11,yes
2025-07-29T07:00:15.094200,BTCUSD,buy,1HR,algo11,yes
2025-07-29T07:00:15.248275,BTCUSD,buy,1hr,algo15,yes
2025-07-29T08:00:02.074579,XAUUSD,buy,1hr,algo11,yes
2025-07-29T09:00:19.075050,BNBUSD,buy,1hr,algo10,yes
2025-07-29T09:18:43.393594,BTCUSD,sell,1HR,algo11,yes
2025-07-29T09:18:43.398086,BTCUSD,sell,1hr,algo15,yes
2025-07-29T10:00:18.423819,ETHUSD,buy,1hr,algo10,yes
2025-07-29T10:14:32.434259,BNBUSD,sell,1hr,algo10,yes
2025-07-29T11:00:16.056226,ETHUSD,sell,1hr,algo10,yes
2025-07-29T11:00:17.455230,BNBUSD,sell,1hr,algo10,yes
2025-07-29T12:26:37.816371,BNBUSD,buy,1hr,algo10,yes
2025-07-29T13:00:15.254714,BNBUSD,buy,1hr,algo10,yes
2025-07-29T14:00:12.037548,BTCUSD,sell,1HR,algo11,yes
2025-07-29T14:00:12.307646,BTCUSD,sell,1hr,algo15,yes
2025-07-29T14:00:12.568733,BNBUSD,sell,1hr,algo10,yes
2025-07-29T14:00:30.417373,ETHUSD,sell,1hr,algo10,yes
2025-07-29T15:00:13.741263,BTCUSD,buy,1hr,algo15,yes
2025-07-29T15:00:13.985247,BTCUSD,buy,1HR,algo11,yes
2025-07-29T15:00:16.282588,BNBUSD,buy,1hr,algo10,yes
2025-07-29T15:27:22.399279,ETHUSD,buy,1hr,algo10,yes
2025-07-29T16:00:10.489986,BTCUSD,sell,1hr,algo15,yes
2025-07-29T16:00:10.562441,BTCUSD,sell,1HR,algo11,yes
2025-07-29T16:00:11.188328,ETHUSD,buy,1hr,algo10,yes
2025-07-29T17:00:12.134784,ETHUSD,sell,1hr,algo10,yes
2025-07-29T18:00:14.218882,BTCUSD,sell,1hr,algo15,yes
2025-07-29T18:00:14.925459,BTCUSD,sell,1HR,algo11,yes
2025-07-29T18:00:16.765277,ETHUSD,buy,1hr,algo10,yes
