timestamp,symbol,action,timeframe,strategy,executed
2025-07-24T00:00:08.843091,BTCUSD,sell,1hr,algo11,yes
2025-07-24T02:00:13.121096,BTCUSD,buy,1HR,algo11,yes
2025-07-24T02:00:13.371985,BTCUSD,buy,1hr,algo15,yes
2025-07-24T02:00:13.420335,BTCUSD,buy,1hr,algo11,yes
2025-07-24T02:59:59.953017,XAUUSD,buy,1hr,algo11,yes
2025-07-24T03:19:25.676556,BTCUSD,sell,1HR,algo11,yes
2025-07-24T03:19:25.762422,BTCUSD,sell,1hr,algo15,yes
2025-07-24T04:40:44.967224,BTCUSD,buy,1hr,algo11,yes
2025-07-24T05:00:01.724298,XAUUSD,sell,1hr,algo11,yes
2025-07-24T06:26:18.614435,BTCUSD,sell,1HR,algo11,yes
2025-07-24T06:26:18.662646,BTCUSD,sell,1hr,algo15,yes
2025-07-24T07:00:12.403002,BTCUSD,sell,1HR,algo11,yes
2025-07-24T07:00:12.924275,BTCUSD,sell,1hr,algo11,yes
2025-07-24T07:00:12.941409,BTCUSD,sell,1hr,algo15,yes
2025-07-24T08:02:23.645518,BTCUSD,buy,1HR,algo11,yes
2025-07-24T08:02:23.694638,BTCUSD,buy,1hr,algo15,yes
2025-07-24T12:00:07.709183,GBPUSD,sell,1hr,algo15,yes
2025-07-24T12:00:10.190635,BTCUSD,buy,1hr,algo11,yes
2025-07-24T12:00:10.919697,BTCUSD,buy,1hr,algo15,yes
2025-07-24T12:00:11.421645,BTCUSD,buy,1HR,algo11,yes
2025-07-24T12:59:59.434939,EURUSD,sell,1hr,algo15,yes
2025-07-24T13:00:06.981719,BTCUSD,sell,1HR,algo11,yes
2025-07-24T13:00:08.496810,BTCUSD,sell,1hr,algo15,yes
2025-07-24T13:00:09.782396,BTCUSD,sell,1hr,algo11,yes
2025-07-24T14:00:14.478443,BTCUSD,buy,1hr,algo15,yes
2025-07-24T14:00:16.558865,BTCUSD,buy,1HR,algo11,yes
2025-07-24T15:00:03.624895,EURUSD,buy,1hr,algo15,yes
2025-07-24T15:00:12.391103,BTCUSD,buy,1HR,algo11,yes
2025-07-24T15:00:12.946013,BTCUSD,buy,1hr,algo15,yes
2025-07-24T15:15:52.758601,BTCUSD,buy,1hr,algo15,yes
