timestamp,symbol,action,timeframe,strategy,executed
2025-07-23T08:01:19.568261,XAUUSD,buy,1hr,algo11,yes
2025-07-23T08:04:35.089002,BTCUSD,buy,1hr,algo11,yes
2025-07-23T08:13:11.580973,BTCUSD,buy,1hr,algo11,yes
2025-07-23T08:20:04.091239,BTCUSD,buy,1hr,algo11,yes
2025-07-23T08:23:16.935225,XAUUSD,buy,1hr,algo11,yes
2025-07-23T08:25:39.336709,BTCUSD,buy,1hr,algo15,yes
2025-07-23T08:41:28.834130,BTCUSD,buy,1hr,algo15,yes
2025-07-23T08:49:29.908203,BTCUSD,buy,1hr,algo15,yes
2025-07-23T09:01:21.032979,BTCUSD,buy,1hr,algo15,yes
2025-07-23T09:09:12.866297,BTCUSD,sell,1hr,algo15,yes
2025-07-23T09:14:17.518550,BTCUSD,buy,1hr,algo15,yes
2025-07-23T09:45:18.091155,BTCUSD,buy,1HR,algo11,yes
2025-07-23T09:45:18.303891,BTCUSD,buy,1hr,algo15,yes
2025-07-23T12:00:00.347071,EURUSD,sell,1hr,algo15,yes
2025-07-23T12:28:38.067269,BTCUSD,buy,1HR,algo11,yes
2025-07-23T12:28:38.328870,BTCUSD,buy,1hr,algo15,yes
2025-07-23T13:00:00.555462,EURUSD,buy,1hr,algo15,yes
2025-07-23T13:00:00.769804,XAUUSD,buy,1hr,algo11,yes
2025-07-23T14:00:01.007706,XAUUSD,sell,1hr,algo11,yes
2025-07-23T16:05:01.503858,EURUSD,buy,1hr,algo15,yes
2025-07-23T18:00:02.257357,EURUSD,buy,1hr,algo15,yes
2025-07-23T22:00:10.387340,BTCUSD,buy,1hr,algo11,yes
