2025-08-08 17:21:25,007 - INFO - === TP/SL MANAGER STARTED ===
2025-08-08 17:23:46,605 - INFO - Updated algo10 BTCUSD | SL: 116362.89438 | TP: 117067.28688
2025-08-08 17:23:46,607 - INFO - Updated 1 positions
2025-08-08 18:01:04,887 - INFO - Updated algo10 BTCUSD | SL: 116878.46500 | TP: 116198.72500
2025-08-08 18:01:04,890 - INFO - Updated 1 positions
2025-08-08 21:01:07,198 - INFO - Updated algo10 BTCUSD | SL: 116354.23125 | TP: 117050.96625
2025-08-08 21:01:07,201 - INFO - Updated 1 positions
2025-08-08 22:00:50,103 - INFO - Updated algo10 BTCUSD | SL: 116934.99563 | TP: 116262.64313
2025-08-08 22:00:50,106 - INFO - Updated 1 positions
2025-08-09 03:00:57,184 - INFO - Updated algo10 BTCUSD | SL: 117108.44000 | TP: 116363.15429
2025-08-09 03:00:57,186 - INFO - Updated 1 positions
2025-08-09 08:12:17,171 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:12:17,173 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:12:37,318 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:12:37,321 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:12:37,324 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:12:57,475 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:12:57,476 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:12:57,477 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:17,618 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:17,620 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:17,623 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:37,738 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:37,739 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:37,740 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:57,897 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:57,897 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:13:57,898 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:18,020 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:18,020 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:18,021 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:38,179 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:38,180 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:38,181 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:58,338 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:58,340 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:14:58,342 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:18,481 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:18,483 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:18,486 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:38,668 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:38,673 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:38,677 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:58,798 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:58,799 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:15:58,800 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
2025-08-09 08:16:18,916 - ERROR - MT5 init failed for algo10: (-6, 'Terminal: Authorization failed')
2025-08-09 08:16:18,920 - ERROR - MT5 init failed for algo11: (-6, 'Terminal: Authorization failed')
2025-08-09 08:16:18,923 - ERROR - MT5 init failed for algo15: (-6, 'Terminal: Authorization failed')
