timestamp,symbol,action,timeframe,strategy,executed
2025-07-23T08:01:19.568261,XAUUSD,buy,1hr,algo11,no
2025-07-23T08:04:35.089002,BTCUSD,buy,1hr,algo11,no
2025-07-23T08:13:11.580973,BTCUSD,buy,1hr,algo11,no
2025-07-23T08:20:04.091239,BTCUSD,buy,1hr,algo11,no
2025-07-23T08:23:16.935225,XAUUSD,buy,1hr,algo11,no
2025-07-23T08:25:39.336709,BTCUSD,buy,1hr,algo15,no
2025-07-23T08:41:28.834130,BTCUSD,buy,1hr,algo15,no
2025-07-23T08:49:29.908203,BTCUSD,buy,1hr,algo15,no
2025-07-23T09:01:21.032979,BTCUSD,buy,1hr,algo15,no
2025-07-23T09:09:12.866297,BTCUSD,sell,1hr,algo15,no
2025-07-23T09:14:17.518550,BTCUSD,buy,1hr,algo15,no
2025-07-23T13:00:00.397783,XAUUSD,buy,15MIN,algo11,no
2025-07-23T13:00:00.769804,XAUUSD,buy,1hr,algo11,no
2025-07-23T14:00:01.007706,XAUUSD,sell,1hr,algo11,no
