timestamp,symbol,action,timeframe,strategy,executed
2025-07-19T12:15:30.891451,BTCUSD,buy,1hr,algo11,no
2025-07-19T12:22:48.467015,BTCUSD,buy,1hr,algo11,no
2025-07-19T14:15:24.509501,BTCUSD,buy,1hr,algo11,no
2025-07-19T14:27:37.119266,BTCUSD,buy,1hr,algo11,no
2025-07-19T14:35:10.608608,BTCUSD,buy,1hr,algo11,no
2025-07-19T14:37:24.432378,BTCUSD,buy,1hr,algo11,no
2025-07-19T14:48:03.107168,BTCUSD,buy,1hr,algo11,no
2025-07-19T14:57:18.572914,BTCUSD,buy,1hr,algo11,no
2025-07-19T14:57:50.306724,BTCUSD,buy,1hr,algo15,no
2025-07-19T15:15:09.368039,BTCUSD,buy,1hr,algo15,no
2025-07-19T15:16:41.371670,BTCUSD,buy,1hr,algo15,no
2025-07-19T15:26:51.511627,BTCUSD,buy,1hr,algo15,no
2025-07-19T15:26:54.433261,BTCUSD,buy,1hr,algo15,no
2025-07-19T15:31:42.027976,BTCUSD,buy,1hr,algo11,no
2025-07-19T15:49:11.521161,BTCUSD,buy,1hr,algo15,no
2025-07-19T15:52:42.438137,BTCUSD,buy,1hr,algo15,no
2025-07-19T15:57:32.252928,BTCUSD,buy,1hr,algo15,no
2025-07-19T17:10:53.970916,BTCUSD,buy,1hr,algo15,no
2025-07-19T18:09:17.657583,BTCUSD,buy,1hr,algo15,no
2025-07-19T18:14:46.493824,BTCUSD,buy,1hr,algo15,no
2025-07-19T18:28:22.375102,BTCUSD,buy,1hr,algo15,no
2025-07-19T18:56:02.380914,BTCUSD,buy,1hr,algo15,no
