timestamp,symbol,action,timeframe,strategy,executed
2025-07-21T11:48:02.390104,BTCUSD,buy,1hr,algo11,no
2025-07-21T13:23:45.841426,BTCUSD,buy,1hr,algo11,no
2025-07-21T13:33:02.794574,BTCUSD,buy,1hr,algo11,no
2025-07-21T13:33:48.000236,BTCUSD,buy,1hr,algo11,no
2025-07-21T13:56:51.868214,BTCUSD,buy,1hr,algo11,no
2025-07-21T13:58:03.912375,BTCUSD,buy,1hr,algo15,no
2025-07-21T14:22:28.006795,BTCUSD,buy,1hr,algo15,no
2025-07-21T14:23:42.968762,BTCUSD,buy,1hr,algo15,no
2025-07-21T15:08:24.426219,BTCUSD,buy,1hr,algo15,no
2025-07-21T15:39:21.857093,BTCUSD,buy,1hr,algo15,no
2025-07-21T15:42:08.872672,BTCUSD,buy,1hr,algo15,no
2025-07-21T15:43:27.226409,BTCUSD,buy,1hr,algo15,no
2025-07-21T15:45:33.416494,BTCUSD,buy,1hr,algo15,no
2025-07-21T15:47:18.860727,BTCUSD,buy,1hr,algo11,no
2025-07-21T15:55:53.761972,BTCUSD,buy,1hr,algo11,no
2025-07-21T15:56:19.546177,BTCUSD,buy,1hr,algo15,no
2025-07-21T15:56:44.691919,BTCUSD,buy,1hr,algo15,no
2025-07-21T16:12:32.827279,BTCUSD,buy,1hr,algo15,no
2025-07-21T16:13:14.203327,BTCUSD,buy,1hr,algo15,no
2025-07-21T16:18:23.721873,BTCUSD,buy,1hr,algo15,no
2025-07-21T16:26:21.016010,BTCUSD,buy,1hr,algo15,no
2025-07-21T16:46:05.842091,BTCUSD,buy,1hr,algo15,no
2025-07-21T16:56:02.932514,BTCUSD,buy,1hr,algo15,no
2025-07-21T17:04:16.517413,BTCUSD,buy,1hr,algo15,no
2025-07-21T17:10:40.964612,BTCUSD,buy,1hr,algo11,no
2025-07-21T17:26:42.137584,BTCUSD,buy,1hr,algo11,no
2025-07-21T17:27:09.280966,BTCUSD,buy,1hr,algo15,no
