timestamp,symbol,action,timeframe,strategy,executed
2025-07-29T02:00:01.426287,XAUUSD,buy,15MIN,algo11,yes
2025-07-29T02:00:02.633467,XAUUSD,buy,1hr,algo11,yes
2025-07-29T03:00:01.874106,XAUUSD,sell,15MIN,algo11,yes
2025-07-29T03:00:02.510357,XAUUSD,sell,1hr,algo11,yes
2025-07-29T05:00:03.982056,XAUUSD,buy,1hr,algo11,yes
2025-07-29T05:00:04.149530,XAUUSD,buy,15MIN,algo11,yes
2025-07-29T07:00:03.136390,XAUUSD,sell,15MIN,algo11,yes
2025-07-29T07:00:04.239859,XAUUSD,sell,1hr,algo11,yes
2025-07-29T08:00:02.074579,XAUUSD,buy,1hr,algo11,yes
2025-07-29T08:00:02.236254,XAUUSD,buy,15MIN,algo11,yes
