timestamp,symbol,action,timeframe,strategy,executed
2025-07-22T00:01:10.573675,BTCUSD,buy,1hr,algo11,no
2025-07-22T00:27:35.676647,BTCUSD,buy,1hr,algo15,no
2025-07-22T00:27:41.099005,BTCUSD,buy,1hr,algo15,no
2025-07-22T01:15:00.874041,XAUUSD,buy,15min,algo11,no
2025-07-22T02:45:00.247500,XAUUSD,sell,15min,algo11,no
2025-07-22T03:00:00.062972,XAUUSD,sell,1hr,algo11,no
2025-07-22T04:00:05.001563,EURUSD,sell,1hr,algo11,no
2025-07-22T06:00:00.096929,XAUUSD,buy,15min,algo11,no
2025-07-22T06:00:09.808055,EURUSD,buy,1hr,algo11,no
2025-07-22T06:15:00.040266,XAUUSD,sell,15min,algo11,no
2025-07-22T06:30:05.021614,XAUUSD,buy,15min,algo11,no
2025-07-22T07:00:02.584681,EURUSD,sell,1hr,algo11,no
2025-07-22T07:30:05.822675,XAUUSD,sell,15min,algo11,no
2025-07-22T08:00:08.978744,XAUUSD,buy,15min,algo11,no
2025-07-22T08:15:00.345060,XAUUSD,sell,15min,algo11,no
2025-07-22T10:00:01.032325,EURUSD,buy,1hr,algo11,no
2025-07-22T10:08:04.452259,BTCUSD,buy,1hr,algo15,no
2025-07-22T10:09:25.325258,BTCUSD,buy,1hr,algo15,no
2025-07-22T10:11:21.829057,BTCUSD,buy,1hr,algo15,no
2025-07-22T16:00:00.144960,XAUUSD,buy,1hr,algo11,no
